AnimalID,LabID,Location,Broad,Sex,Use,Comments,Haplotype
104035,104035,CNMI - Guam,CNMI,M,TRUE,,32
104066,104066,CNMI - Saipan,CNMI,F,TRUE,Lhos hap,Lh1
104067,104067,CNMI - Saipan,CNMI,M,TRUE,,34
104070,104070,CNMI - Tinian,CNMI,M,TRUE,,32
108171,108171,CNMI - Rota,CNMI,U,TRUE,,32
108172,108172,CNMI - Rota,CNMI,M,TRUE,,32
108183,108183,CNMI - Aguijan,CNMI,M,TRUE,Hap matches Channel Islands,39
108207,108207,CNMI - Guam,CNMI,F,TRUE,Lhos hap; dupe of 159775,Lh1
108208,108208,CNMI - Guam,CNMI,F,TRUE,Lhos hap,Lh1
116858,116858,CNMI - Rota,CNMI,F,TRUE,,32
116866,116866,CNMI - Saipan,CNMI,M,TRUE,,32
116867,116867,CNMI - Saipan,CNMI,M,TRUE,Lhos hap,Lh1
116868,116868,CNMI - Saipan,CNMI,M,TRUE,Lhos hap,Lh1
116869,116869,CNMI - Saipan,CNMI,M,TRUE,Dupe of 175296,32
116881,116881,CNMI - Saipan,CNMI,M,TRUE,,33
143738,143738,CNMI - Tinian,CNMI,F,TRUE,,40
143752,143752,CNMI - Rota,CNMI,M,TRUE,,32
159727,159727,CNMI - Guguan,CNMI,M,TRUE,,32
159745,159745,CNMI - Agrihan,CNMI,F,TRUE,Lhos hap,Lh11
159770,159770,CNMI - Rota,CNMI,M,TRUE,Lhos hap,Lh1
159771,159771,CNMI - Rota,CNMI,F,TRUE,Lhos hap,Lh1
159772,159772,CNMI - Rota,CNMI,M,TRUE,,32
159773,159773,CNMI - Rota,CNMI,M,TRUE,Lhos hap,Lh1
159774,159774,CNMI - Rota,CNMI,F,TRUE,Lhos hap,Lh1
108207,159775,CNMI - Rota,CNMI,F,FALSE,Lhos hap; dupe of 108207,Lh1
159776,159776,CNMI - Rota,CNMI,M,TRUE,Lhos hap,Lh1
159777,159777,CNMI - Rota,CNMI,F,TRUE,Lhos hap,Lh1
159778,159778,CNMI - Rota,CNMI,M,TRUE,,32
159780,159780,CNMI - Rota,CNMI,M,TRUE,Lhos hap,Lh1
159781,159781,CNMI - Rota,CNMI,M,TRUE,Lhos hap,Lh1
175294,175294,CNMI - Saipan,CNMI,F,TRUE,,32
116869,175296,CNMI - Saipan,CNMI,M,FALSE,Dupe of 116869,32
185379,185379,CNMI - Saipan,CNMI,M,TRUE,,32
185380,185380,CNMI - Saipan,CNMI,F,TRUE,,9
185381,185381,CNMI - Saipan,CNMI,M,TRUE,,32
185382,185382,CNMI - Saipan,CNMI,F,TRUE,,32
197356,197356,CNMI - Saipan,CNMI,F,TRUE,,9
197366,197366,CNMI - Anatahan,NWPac,F,TRUE,,41
197367,197367,CNMI - Anatahan,NWPac,M,TRUE,,42
197368,197368,CNMI - Pagan,NWPac,M,TRUE,,43
197370,197370,CNMI - Pagan,CNMI,F,TRUE,,32
197396,197396,CNMI - Tinian,CNMI,M,TRUE,Dupe of 197397,9
197396,197397,CNMI - Tinian,CNMI,M,FALSE,Dupe of 197396,9
13843,13843,Korea,NWPac,M,TRUE,,8
18534,18534,MHI,HI,U,TRUE,,1
18535,18535,MHI,HI,U,TRUE,,1
18536,18536,MHI,HI,U,TRUE,,1
18950,18950,MHI,HI,U,TRUE,,1
18957,18957,MHI,HI,U,TRUE,,1
18961,18961,MHI,HI,U,TRUE,,1
27413,27413,MHI,HI,U,TRUE,,1
18957,27420,MHI,HI,U,FALSE,Dupe of 18957,1
27421,27421,MHI,HI,U,TRUE,,1
27424,27424,MHI,HI,U,TRUE,,1
27425,27425,MHI,HI,U,TRUE,,1
30484,30484,MHI,HI,U,TRUE,,1
33866,33866,MHI,HI,U,TRUE,,1
33867,33867,MHI,HI,U,TRUE,,1
33868,33868,MHI,HI,U,TRUE,,1
33874,33874,MHI,HI,U,TRUE,,1
33875,33875,MHI,HI,U,TRUE,,1
33877,33877,MHI,HI,U,TRUE,,1
33896,33896,MHI,HI,U,TRUE,Dupe of 33897,1
33896,33897,MHI,HI,U,FALSE,Dupe of 33896,1
33925,33925,MHI,HI,U,TRUE,,1
33951,33951,MHI,HI,U,TRUE,Dupe of 33974,1
33962,33962,MHI,HI,U,TRUE,,1
33963,33963,MHI,HI,U,TRUE,,1
33951,33974,MHI,HI,U,FALSE,Dupe of 33951,1
34029,34029,MHI,HI,U,TRUE,,1
34032,34032,MHI,HI,U,TRUE,,1
34033,34033,MHI,HI,U,TRUE,,1
51040,34034,MHI,HI,U,FALSE,,1
34036,34036,MHI,HI,U,TRUE,,1
45949,45949,MHI,HI,U,TRUE,,1
47073,47073,MHI,HI,U,TRUE,,1
47076,47076,MHI,HI,U,TRUE,,1
51040,51040,MHI,HI,F,TRUE,,1
51066,51066,MHI,HI,M,TRUE,,1
51070,51070,MHI,HI,F,TRUE,,1
51092,51092,MHI,HI,F,TRUE,,1
55249,55249,MHI,HI,M,TRUE,,1
55250,55250,MHI,HI,F,TRUE,,1
55249,55251,MHI,HI,M,FALSE,Duplicate of 55249-allelic dropout KWM12at,1
61428,61428,MHI,HI,M,TRUE,,1
61429,61429,MHI,HI,F,TRUE,,1
61430,61430,MHI,HI,F,TRUE,,1
71009,71009,MHI,HI,M,TRUE,,1
71013,71013,MHI,HI,M,TRUE,,1
71019,71019,MHI,HI,F,TRUE,,1
55250,78743,MHI,HI,F,FALSE,Duplicate of 55250-allelic dropout Ttr34,1
71009,78818,MHI,HI,M,FALSE,Duplicate of 71009-Identical,1
79982,79982,MHI,HI,M,TRUE,,1
92259,92259,MHI,HI,M,TRUE,,1
55250,104020,MHI,HI,F,FALSE,Duplicateof 55250-Identical,1
104021,104021,MHI,HI,M,TRUE,,1
104022,104022,MHI,HI,M,TRUE,,1
107857,107857,MHI,HI,M,TRUE,,1
107859,107859,MHI,HI,F,TRUE,,1
71013,113577,MHI,HI,M,FALSE,Duplicate of 71013,1
113578,113578,MHI,HI,M,TRUE,,1
113652,113652,MHI,HI,M,TRUE,,1
133153,133153,MHI,HI,M,TRUE,,1
133162,133162,MHI,HI,M,TRUE,,1
133163,133163,MHI,HI,F,TRUE,,1
133182,133182,MHI,HI,M,TRUE,,1
18949,18949,MHI,HI,U,TRUE,,2
18959,18959,MHI,HI,U,TRUE,,2
18960,18960,MHI,HI,U,TRUE,Dupe of 33788,2
23314,23314,MHI,HI,U,TRUE,,2
