LABID,Location,Fine,Sex,Haplotype
185380,CNMI - Saipan,CNMI,F,9
197356,CNMI - Saipan,CNMI,F,9
197396,CNMI - Tinian,CNMI,M,9
197397,CNMI - Tinian,CNMI,M,9
104035,CNMI - Guam,CNMI,M,32
104070,CNMI - Tinian,CNMI,M,32
108171,CNMI - Rota,CNMI,U,32
108172,CNMI - Rota,CNMI,M,32
116858,CNMI - Rota,CNMI,F,32
116866,CNMI - Saipan,CNMI,M,32
116869,CNMI - Saipan,CNMI,M,32
143752,CNMI - Rota,CNMI,M,32
159727,CNMI - Guguan,CNMI,M,32
159772,CNMI - Rota,CNMI,M,32
159778,CNMI - Rota,CNMI,M,32
175294,CNMI - Saipan,CNMI,F,32
175296,CNMI - Saipan,CNMI,M,32
185379,CNMI - Saipan,CNMI,M,32
185381,CNMI - Saipan,CNMI,M,32
185382,CNMI - Saipan,CNMI,F,32
197370,CNMI - Pagan,CNMI,F,32
116881,CNMI - Saipan,CNMI,M,33
104067,CNMI - Saipan,CNMI,M,34
108183,CNMI - Aguijan,CNMI,M,39
143738,CNMI - Tinian,CNMI,F,40
197366,CNMI - Anatahan,CNMI,F,41
197367,CNMI - Anatahan,CNMI,M,42
197368,CNMI - Pagan,CNMI,M,43
104066,CNMI - Saipan,CNMI,F,Lh1
108207,CNMI - Guam,CNMI,F,Lh1
108208,CNMI - Guam,CNMI,F,Lh1
116867,CNMI - Saipan,CNMI,M,Lh1
116868,CNMI - Saipan,CNMI,M,Lh1
159770,CNMI - Rota,CNMI,M,Lh1
159771,CNMI - Rota,CNMI,F,Lh1
159773,CNMI - Rota,CNMI,M,Lh1
159774,CNMI - Rota,CNMI,F,Lh1
159775,CNMI - Rota,CNMI,F,Lh1
159776,CNMI - Rota,CNMI,M,Lh1
159777,CNMI - Rota,CNMI,F,Lh1
159780,CNMI - Rota,CNMI,M,Lh1
159781,CNMI - Rota,CNMI,M,Lh1
159745,CNMI - Agrihan,CNMI,F,Lh11
