"KKM.hap","Chen.hap"
"Lh1","Lh1"
"Lh1","Hap_4"
"Lh2","Lh2"
"Lh2","Hap_2"
"Lh2","Hap_7"
"Lh2","1"
"Lh3","Lh3"
"Lh4","Lh4"
"Lh4","Hap_25"
"Lh5","Lh5"
"Lh5","Hap_45"
"Lh6","Lh6"
"Lh6","Hap_30"
"Lh7","Lh7"
"Lh8","Lh8"
"Lh9","Lh9"
"Lh9","Hap_35"
"Lh9","Hap_27"
"Lh10","Lh10"
"Lh11","Lh11"
"Lh11","Hap_21"
"Lh12","Lh12"
"Lh12","Hap_29"
"Lh13","Lh13"
"Lh14","Lh14"
"Lh14","Hap_19"
"Lh15","Lh15"
"Lh15","Hap_47"
"Lh16","Lh16"
"Lh16","Hap_14"
"Lh17","Lh17"
"Lh17","Hap_26"
"Lh18","Lh18"
"Lh19","Lh19"
"Lh20","Lh20"
"Lh21","Lh21"
"Lh21","Hap_33"
"Lh21","Hap_24"
"Lh22","Lh22"
"Lh22","Hap_28"
"Lh22","1"
"Lh23","Lh23"
"Lh23","Hap_17"
"Lh24","Lh24"
"Lh24","Hap_32"
"Lh25","Lh25"
"Lh26","Lh26"
"MN268677.1.Hap_48","Hap_48"
"MN268668.1.Hap_40","Hap_40"
"MN268631.1.Hap_18","Hap_18"
"MN268615.1.Hap_13","Hap_13"
"MN268624.1.Hap_16","Hap_16"
"MN268608.1.Hap_10","Hap_10"
"MN268608.1.Hap_10","Hap_1"
"MN268665.1.Hap_37","Hap_37"
"MN268639.1.Hap_22","Hap_22"
"MN268639.1.Hap_22","Hap_20"
"MN268667.1.Hap_39","Hap_39"
"MN268601.1.Hap_6","Hap_6"
"MN268613.1.Hap_11","Hap_11"
"MN268620.1.Hap_15","Hap_15"
"MN268591.1.Hap_3","Hap_3"
"MN268591.1.Hap_3","1"
"MN268674.1.Hap_46","Hap_46"
"MN268664.1.Hap_36","Hap_36"
"MN268669.1.Hap_41","Hap_41"
"MN268640.1.Hap_23","Hap_23"
"MN268666.1.Hap_38","Hap_38"
"MN268661.1.Hap_34","Hap_34"
"MN268661.1.Hap_34","Hap_12"
"MN268605.1.Hap_9","Hap_9"
"MN268603.1.Hap_8","Hap_8"
"MN268671.1.Hap_43","Hap_43"
"MN268670.1.Hap_42","Hap_42"
"MN268657.1.Hap_31","Hap_31"
"MN268672.1.Hap_44","Hap_44"
"NC_037848.1","1"
"MZ401175.1","1"
"MZ401174.1","1"
"DQ845439.1","1"
"DQ845438.1","1"
"MZ401173.1","1"
"MN268598.1.Hap_5","Hap_5"
