AnimalID,LabID,Location,Sex,Use,Comments
394,394,PHILIPPINES,M,TRUE,
395,395,PHILIPPINES,F,TRUE,
399,399,PHILIPPINES,F,TRUE,
452,452,NORTH PACIFIC,F,TRUE,No Tissue left
453,453,NORTH PACIFIC,M,TRUE,No Tissue left
454,454,NORTH PACIFIC,M,TRUE,No Tissue left
2594,2594,PHILIPPINES,M,TRUE,
2595,2595,PHILIPPINES,F,FALSE,Ttru; exclude
2596,2596,PHILIPPINES,F,TRUE,
2597,2597,PHILIPPINES,F,TRUE,
2598,2598,PHILIPPINES,M,TRUE,
2599,2599,PHILIPPINES,M,TRUE,
2600,2600,PHILIPPINES,M,TRUE,
2601,2601,PHILIPPINES,F,TRUE,
2602,2602,PHILIPPINES,F,TRUE,Genetic sex differs from field
2604,2604,PHILIPPINES,F,FALSE,Sequencing failed
2606,2606,PHILIPPINES,M,TRUE,
2607,2607,PHILIPPINES,M,TRUE,
2646,2646,PHILIPPINES,F,FALSE,Ttru; exclude
2648,2648,PHILIPPINES,F,TRUE,Genetic sex differs from field
2651,2651,PHILIPPINES,F,FALSE,Sequencing failed
2653,2653,PHILIPPINES,U,TRUE,No genetic sex; field only
2654,2654,PHILIPPINES,U,FALSE,Sequencing failed; No genetic sex; field only
2660,2660,PHILIPPINES,F,FALSE,Slon; exclude
2671,2671,PHILIPPINES,F,TRUE,
5553,5553,PHILIPPINES,M,TRUE,
5554,5554,PHILIPPINES,U,FALSE,Sequencing failed; No genetic sex; field only
5555,5555,PHILIPPINES,U,FALSE,Sequencing failed
5556,5556,PHILIPPINES,M,TRUE,
5557,5557,PHILIPPINES,U,FALSE,Sequencing failed; No genetic sex; field only
5558,5558,PHILIPPINES,U,FALSE,Satt exclude
5559,5559,PHILIPPINES,F,TRUE,
5560,5560,PHILIPPINES,F,FALSE,Ttru; exclude
5561,5561,PHILIPPINES,U,FALSE,Sequencing failed; No genetic sex; field only
7452,7452,PHILIPPINES,M,TRUE,
9553,9553,TAIWAN,F,TRUE,Stranding
9554,9554,TAIWAN,M,TRUE,Stranding
9555,9555,TAIWAN,F,TRUE,Stranding
9846,9846,MALDIVES,M,TRUE,
9867,9867,MALDIVES,M,TRUE,
9868,9868,MALDIVES,F,TRUE,
15529,15529,ETP,F,TRUE,
18929,18929,"AUSTRALIA, BARROW IS.",U,FALSE,Bone; exclude
18930,18930,"AUSTRALIA, NSW",U,FALSE,Sequencing failed; Stranding
23193,23193,"AUSTRALIA, NSW",U,FALSE,Bone; exclude
30468,30468,"USA, HI",M,TRUE,
30469,30469,"USA, HI",F,TRUE,
30470,30470,"USA, HI",M,TRUE,
30471,30471,"USA, HI",U,TRUE,No tissue or DNA left
40922,40922,MALDIVES,F,TRUE,
125679,125679,PHILIPPINES,F,TRUE,Stranding
136815,136815,PHILIPPINES,M,TRUE,Stranding
136816,136816,PHILIPPINES,F,TRUE,Stranding
136818,136818,PHILIPPINES,F,TRUE,Stranding
136819,136819,PHILIPPINES,M,TRUE,
