Project_Type,Project_CruiseID,Platform,DateLocal,SightingNo,SpeciesCode,Species,CommonName,TimeBeginLocal,EEZ,Region,IslandLocation,Lat,Long,GsSpBest,GsSpHigh,GsSpLow,SpCalvesPresent,BiopsySamples,NumSamplesBiopsy,PhotosCollected,TotalNumPhotos,TagsDeployed,TagIDs,Permit
Ship line-transect,2015_MACS_SE1502,Ship,5/20/2015,11,18,Tursiops truncatus,Bottlenose dolphin,6:55,Guam/CNMI,Mariana Arc - north,Anatahan-offshore,16.4185,146.045,10,15,7,Yes,TRUE,1,FALSE,0,FALSE,n/a,PIFSC 15240
Ship line-transect,2015_MACS_SE1502,Ship,5/26/2015,27a,18,Tursiops truncatus,Bottlenose dolphin,9:56,Guam/CNMI,Mariana Arc - north,Agrihan,18.7393,145.6392,20,31,15,Unk,FALSE,0,TRUE,9,FALSE,n/a,PIFSC 15240
Ship line-transect,2015_MACS_SE1502,Ship,5/26/2015,28b,18,Tursiops truncatus,Bottlenose dolphin,16:47,Guam/CNMI,Mariana Arc - north,Agrihan,18.7832,145.6088,8,12,6,Unk,TRUE,1,TRUE,36,FALSE,n/a,PIFSC 15240
Ship line-transect,2018_MACS_SE1803,Ship,7/18/2018,025b,18,Tursiops truncatus,Bottlenose dolphin,7:05,Guam/CNMI,Mariana Trough,Mariana Trough,13.9207,143.1572,2,3,2,No,FALSE,0,TRUE,52,FALSE,n/a,PIFSC 20311
Ship line-transect,2018_MACS_SE1803,Ship,7/22/2018,39,18,Tursiops truncatus,Bottlenose dolphin,15:52,Guam/CNMI,West Mariana Ridge,West Mariana Ridge,16.5403,143.189,24,30,18,No,TRUE,2,TRUE,80,FALSE,n/a,PIFSC 20311
Ship line-transect,2021_MACS_SE2102,Ship,7/10/2021,73,18,Tursiops truncatus,Bottlenose dolphin,7:42,Guam/CNMI,Mariana Arc - south,Saipan,15.3297,145.7047,12,18,10,Yes,FALSE,0,FALSE,0,FALSE,n/a,PIFSC 20311
Small boat,2011_Marianas,Small boat,8/29/2011,2,18,Tursiops truncatus,Bottlenose dolphin,11:18,Guam/CNMI,Mariana Arc - south,Rota Bank,13.7996,144.9539,14,17,12,Yes,TRUE,1,TRUE,158,FALSE,n/a,SWFSC 14097
Small boat,2011_Marianas,Small boat,9/9/2011,2,18,Tursiops truncatus,Bottlenose dolphin,10:05,Guam/CNMI,Mariana Arc - south,Saipan,15.1351,145.7456,10,11,10,No,TRUE,2,TRUE,294,FALSE,n/a,SWFSC 14097
Small boat,2011_Marianas,Small boat,9/10/2011,3,18,Tursiops truncatus,Bottlenose dolphin,11:14,Guam/CNMI,Mariana Arc - south,Saipan,15.099,145.6365,10,11,9,No,TRUE,1,TRUE,222,FALSE,n/a,SWFSC 14097
Small boat,2012_Marianas,Small boat,5/29/2012,5,18,Tursiops truncatus,Bottlenose dolphin,10:23,Guam/CNMI,Mariana Arc - south,Rota  ,14.1621,145.1491,12,13,11,No,TRUE,2,TRUE,340,FALSE,n/a,PIFSC 15240
Small boat,2012_Marianas,Small boat,6/8/2012,14b,18,Tursiops truncatus,Bottlenose dolphin,13:08,Guam/CNMI,Mariana Arc - south,Aguijan,14.7785,145.5184,5,5,5,No,TRUE,1,TRUE,116,FALSE,n/a,PIFSC 15240
Small boat,2012_Marianas,Small boat,6/26/2012,27,18,Tursiops truncatus,Bottlenose dolphin,11:34,Guam/CNMI,Mariana Arc - south,Rota Bank,13.7958,144.9563,5,5,5,No,FALSE,0,TRUE,141,FALSE,n/a,PIFSC 15240
Small boat,2012_Marianas,Small boat,6/29/2012,30,18,Tursiops truncatus,Bottlenose dolphin,9:36,Guam/CNMI,Mariana Arc - south,Guam,13.441,144.6093,7,8,7,No,TRUE,2,TRUE,285,FALSE,n/a,PIFSC 15240
Small boat,2013_Marianas,Small boat,6/30/2013,6a,18,Tursiops truncatus,Bottlenose dolphin,6:13,Guam/CNMI,Mariana Arc - south,Guam,13.4823,144.6507,8,10,7,No,FALSE,0,TRUE,67,FALSE,n/a,PIFSC 15240
Small boat,2013_Marianas,Small boat,7/6/2013,14b,18,Tursiops truncatus,Bottlenose dolphin,6:05,Guam/CNMI,Mariana Arc - south,Rota  ,14.1405,145.126,2,4,2,No,FALSE,0,TRUE,3,FALSE,n/a,PIFSC 15240
Small boat,2013_Marianas,Small boat,7/9/2013,19,18,Tursiops truncatus,Bottlenose dolphin,6:28,Guam/CNMI,Mariana Arc - south,Rota  ,14.147,145.1375,12,15,10,No,TRUE,1,TRUE,805,FALSE,n/a,PIFSC 15240
