Cruise,segnum,stlin,endlin,lat1,lon1,lat2,lon2
2015,1,22,108,13.4045,144.46133,13.15417,144.24601
2015,2,124,309,12.8855,144.063,12.8275,144.71116
2015,3,377,394,12.8115,144.78717,12.80517,144.82565
2015,4,433,483,12.78367,144.9435,12.75417,145.09365
2015,5,518,647,12.77417,145.12267,13.0125,145.185
2015,6,650,676,13.878,144.9265,13.96067,144.89533
2015,7,686,772,14.00633,144.8785,14.3505,144.75367
2015,8,779,841,14.37533,144.74383,14.6,144.66101
2015,9,884,1174,14.61867,144.6545,14.588,145.43132
2015,10,1220,1270,15.04467,145.75267,15.18067,145.60434
2015,11,1343,1392,15.2045,145.59833,15.3165,145.45735
2015,12,1490,1655,15.34433,145.43283,15.803,145.08233
2015,13,1679,1935,16.99167,144.9295,17.33833,145.81083
2015,14,1963,1986,17.3475,145.8315,17.36667,145.87065
2015,15,2005,2063,17.35167,145.85567,17.347,145.82966
2015,16,2064,2190,17.347,145.82983,17.55667,146.26965
2015,17,2200,2230,18.38783,145.89583,18.45467,145.80801
2015,18,2231,2237,18.45483,145.80783,18.45517,145.80734
2015,19,2369,2378,18.51817,145.8335,18.52917,145.81785
2015,20,2384,2692,18.5485,145.81317,19.31083,144.69502
2015,21,2710,2750,20.0235,145.2645,20.02383,145.24316
2015,22,2753,2768,20.014,145.24183,20.02017,145.20267
2015,23,2804,2913,20.03367,145.18967,20.00033,145.19916
2015,24,2931,3059,20.04167,145.182,20.4845,144.82984
2015,25,3060,3214,20.4855,144.82933,20.5705,144.79883
2015,26,3221,3239,17.52233,145.96133,17.491,145.96466
2015,27,3258,3314,17.42383,145.94817,17.27783,145.92416
2015,28,3316,3676,17.277,145.925,16.48567,146.69668
2015,29,3696,3774,16.44833,146.60883,16.35033,146.38019
2015,30,3786,3852,16.19033,145.71917,16.37483,145.62768
2015,31,3869,4060,16.349,145.61633,16.33617,145.61849
2015,32,4079,4095,16.37217,145.61083,16.37283,145.55003
2015,33,4097,4168,16.37383,145.54783,16.56917,145.3485
2015,34,4219,4279,16.60717,145.31867,16.78367,145.13102
2015,35,4289,4334,16.25983,145.99383,16.41933,146.04533
2015,36,4350,4367,16.4545,146.0525,16.48017,146.062
2015,37,4378,4499,16.50117,146.06383,16.693,145.79735
2015,38,4564,4793,16.7015,145.83283,16.858,145.72065
2015,39,4803,4895,17.24967,145.53433,17.30367,145.86117
2015,40,4941,4978,17.28883,145.8565,17.283,145.84265
2015,41,5029,5103,17.32617,145.887,17.266,145.87647
2015,42,5131,5166,17.26817,145.90617,17.21933,145.97533
2015,43,5274,5296,17.26733,145.98467,17.21433,146.03716
2015,44,5301,5373,17.5745,146.12167,17.583,145.80534
2015,45,5391,5434,17.61967,145.8115,17.57783,145.80718
2015,46,5556,5611,17.60283,145.79067,17.7485,145.8085
2015,47,5616,5630,17.73533,145.82767,17.708,145.8605
2015,48,5699,5713,17.70067,145.88333,17.68833,145.8835
2015,49,5796,5804,18.002,145.55683,18.01133,145.57049
2015,50,5808,5847,18.02033,145.586,18.08983,145.72765
2015,51,5891,5931,18.1315,145.74633,18.13033,145.81433
2015,52,5949,5966,18.104,145.822,18.09533,145.774
2015,53,5977,6015,18.069,145.78983,18.08317,145.78651
2015,54,6020,6027,18.07717,145.76583,18.074,145.75918
2015,55,6032,6042,18.0565,145.74683,18.0415,145.73718
2015,56,6054,6081,18.03167,145.6925,18.08183,145.71533
2015,57,6134,6159,18.03583,145.65767,18.10134,145.70249
2015,58,6187,6316,18.187,145.7185,17.992,145.79617
2015,59,6327,6758,18.51667,145.71383,17.55033,146.22117
2015,60,6831,7072,17.37933,145.79617,18.107,145.03967
2015,61,7130,7321,18.16183,144.97867,18.49167,145.43132
2015,62,7331,7380,18.77717,145.89067,18.73217,145.69317
2015,63,7418,7482,18.71717,145.6585,18.75467,145.6345
2015,64,7486,7495,18.7395,145.639,18.735,145.64033
2015,65,7666,7697,18.59617,145.56667,18.67217,145.51933
2015,66,7711,8198,18.6825,145.52433,19.74017,145.472
2015,67,8206,8274,19.69183,145.623,19.69433,145.38383
2015,68,8294,8430,19.697,145.38133,19.75817,145.36534
2015,69,8659,8694,19.7915,145.541,19.708,145.472
2015,70,8699,8750,20.23017,146.12067,20.13917,145.92968
2015,71,8755,8798,20.12967,145.90883,20.06117,145.76517
2015,72,8801,9110,20.0545,145.7575,19.469,144.49434
2015,73,9111,9210,19.46917,144.49417,19.79967,144.33467
2015,74,9236,9432,20.27867,145.15483,20.073,145.21117
2015,75,9773,9795,20.06917,145.1725,20.02866,145.24182
2015,76,9802,9973,20.68833,144.01933,21.12917,144.5105
2015,77,10114,10177,21.10517,144.4585,21.22717,144.62
2015,78,10197,10314,21.23683,144.613,21.24617,144.93916
2015,79,10325,10402,20.54767,145.12317,20.5485,144.8755
2015,80,10410,10430,20.55383,144.8845,20.53117,144.897
2015,81,10432,10525,20.531,144.89267,20.553,144.87951
2015,82,10538,10703,20.56083,144.8745,20.30367,144.58833
2015,83,10705,10856,20.303,144.58867,19.97133,145.10682
2015,84,10866,11352,19.69133,145.54083,18.71567,145.93518
2015,85,11361,11470,18.3675,145.7785,18.073,145.755
2015,86,11472,11882,18.06933,145.75267,18.09884,145.69182
2015,87,11889,11913,17.33567,146.05567,17.27267,146.08617
2015,88,12035,12043,17.2365,146.0715,17.2265,146.075
2015,89,12050,12081,17.19833,146.087,17.09133,146.12483
2015,90,12145,12280,17.11767,146.16033,16.66,146.18667
2015,91,12342,12379,16.61267,146.191,16.50167,146.16
2015,92,12391,12437,16.46583,146.15217,16.29816,146.12567
2015,93,12443,12525,16.36183,145.9065,16.33167,145.63716
2015,94,12533,12694,16.32483,145.63667,16.29,145.66533
2015,95,12707,12802,16.2905,145.6875,16.129,145.88667
2015,96,12811,12953,16.10967,145.8725,15.68383,145.97116
2018,1,16,28,15.13,145.3085,15.15733,145.33
2018,2,110,127,15.15117,145.40217,15.17367,145.41
2018,3,161,181,15.221,145.41217,15.29133,145.44533
2018,4,313,344,15.31567,145.47133,15.23117,145.46333
2018,5,352,376,15.194,145.46583,15.16133,145.5255
2018,6,391,459,15.17433,145.55633,15.055,145.73616
2018,7,511,521,15.887,146.14533,15.86917,146.16366
2018,8,524,566,15.8655,146.16017,15.886,146.036
2018,9,584,619,15.906,146.03683,16.01617,146.04167
2018,10,652,697,16.00883,146.04433,16.03967,146.07247
2018,11,729,832,16.01633,146.0335,16.19917,145.91383
2018,12,857,1034,16.20983,145.93117,15.92983,146.01867
2018,13,1087,1130,15.1585,145.63217,15.22484,145.59216
2018,14,1164,1182,15.383,145.613,15.4445,145.62067
2018,15,1196,1420,15.51067,145.63017,16.36834,145.73501
2018,16,1446,1457,17.9635,145.505,17.97017,145.51666
2018,17,1561,1646,18.2095,145.538,18.11367,145.23152
2018,18,1720,1848,17.99,144.84883,17.83433,144.35934
2018,19,1916,2154,17.37083,143.09267,17.064,144.05517
2018,20,2163,2231,17.0565,144.07917,16.98117,144.31481
2018,21,2403,2444,16.52783,145.5915,16.48833,145.47017
2018,22,2585,2643,16.50633,145.35233,16.406,145.20317
2018,23,2675,2700,16.4205,145.18567,16.37767,145.11717
2018,24,2718,2805,16.346,145.02517,16.2375,144.68467
2018,25,2907,2918,15.68717,142.96083,15.68183,142.94484
2018,26,2953,3006,15.6925,142.95583,15.65433,143.14433
2018,27,3043,3176,15.653,143.14833,15.4885,143.66681
2018,28,3180,3224,15.4855,143.67633,15.43917,143.81616
2018,29,3234,3433,15.43333,143.8425,15.1755,144.64631
2018,30,3445,3481,14.84217,145.63917,14.80317,145.51951
2018,31,3486,3589,14.79483,145.493,14.66967,145.09968
2018,32,3594,3668,14.66683,145.08967,14.58283,144.82817
2018,33,3702,3766,14.56267,144.79067,14.5015,144.573
2018,34,3808,3868,14.47583,144.55517,14.422,144.32301
2018,35,3892,3935,14.408,144.31633,14.37033,144.18018
2018,36,3953,4008,14.347,144.16717,14.3045,143.95384
2018,37,4021,4056,13.98467,143.03083,13.92383,143.15848
2018,38,4140,4185,13.88483,143.15517,13.84933,143.31416
2018,39,4259,4288,13.79,143.444,13.74683,143.53532
2018,40,4311,4326,13.66367,143.54967,13.65167,143.57016
2018,41,4344,4519,13.635,143.58683,13.26867,144.19799
2018,42,4522,4546,13.26217,144.2085,13.22467,144.28147
2018,43,4550,4566,13.22467,144.28167,13.217,144.33598
2018,44,4577,4691,13.1365,144.74367,13.00017,144.31252
2018,45,4699,4729,12.9965,144.2975,12.971,144.22084
2018,46,4750,4760,12.94883,144.22,12.94817,144.2155
2018,47,4771,4795,12.94617,144.1945,12.93367,144.10619
2018,48,4801,4876,12.932,144.0965,12.85233,143.85067
2018,49,4891,4926,12.85583,143.81483,12.8115,143.72134
2018,50,4945,4982,12.79483,143.67667,12.76033,143.55819
2018,51,4992,5146,12.748,143.51917,12.55183,142.90569
2018,52,5158,5209,13.3955,142.45483,13.5575,142.53183
2018,53,5227,5250,13.57883,142.5425,13.62017,142.562
2018,54,5326,5405,13.65817,142.63017,13.90017,142.69517
2018,55,5522,5582,13.97467,142.70983,14.1515,142.815
2018,56,5602,5675,14.23017,142.81967,14.37867,142.97515
2018,57,5740,5776,15.14583,143.11333,15.14967,143.23532
2018,58,5780,5937,15.15433,143.25183,15.145,143.91881
2018,59,5943,6079,15.15333,143.94467,15.34917,144.5295
2018,60,6080,6122,15.34917,144.5295,15.42567,144.67633
2018,61,6126,6201,15.43333,144.69117,15.56717,144.95098
2018,62,6226,6313,16.072,144.51483,16.1855,144.155
2018,63,6326,6338,16.20433,144.09383,16.21433,144.06318
2018,64,6362,6535,16.2505,143.94817,16.42117,143.34102
2018,65,6551,6569,16.44983,143.26467,16.4655,143.22019
2018,66,6618,6630,16.53433,143.19583,16.54167,143.18751
2018,67,6657,6759,16.55667,143.17867,16.8205,142.85484
2018,68,6780,6827,18.0415,142.99967,18.2435,142.99967
2018,69,6829,6840,18.2435,142.99967,18.24533,143.008
2018,70,6845,6859,18.2365,143.021,18.22667,143.04616
2018,71,6864,6904,18.22167,143.05567,18.19167,143.18367
2018,72,6918,6956,18.16383,143.19117,18.1485,143.32033
2018,73,6976,7043,18.15017,143.36117,18.06667,143.57533
2018,74,7054,7068,18.05717,143.61017,18.0535,143.62166
2018,75,7274,7297,18.1515,143.74733,18.125,143.8175
2018,76,7331,7432,16.8725,143.64817,16.857,144.11667
2018,77,7468,7619,16.848,144.13217,17.44717,144.10383
2018,78,7634,7664,17.48467,144.08333,17.58617,144.083
2018,79,7697,7735,17.621,144.08083,17.69433,144.08767
2018,80,7763,7809,17.684,144.13983,17.78667,144.281
2018,81,7820,7865,18.07483,145.53083,18.09717,145.70166
2018,82,7866,7897,18.09717,145.70667,18.12117,145.74267
2018,83,7920,8031,18.14217,145.72267,18.0685,145.78335
2018,84,8072,8093,18.05617,145.7805,18.01883,145.72284
2018,85,8164,8174,18.08783,145.70317,18.0715,145.69233
2018,86,8207,8226,18.04467,145.67483,18.01217,145.652
2018,87,8229,8249,18.00167,145.64283,17.92967,145.61134
2018,88,8251,8341,17.92383,145.609,17.65517,145.44767
2018,89,8347,8371,17.64183,145.44167,17.54266,145.39784
2018,90,8436,8610,16.02133,144.64067,15.28033,144.71983
2018,91,8613,8897,15.26767,144.72017,14.0415,144.73483
2018,92,8906,8933,13.99883,144.73567,13.89633,144.73717
2018,93,8947,9082,13.08983,143.387,12.9385,142.83334
2018,94,9098,9113,12.96867,142.807,12.961,142.78583
2018,95,9136,9186,12.92867,142.76267,12.886,142.601
2018,96,9232,9347,12.87,142.51,13.146,142.11784
2018,97,9348,9452,13.14583,142.11783,12.83433,141.90367
2018,98,9482,9738,13.1975,142.26667,13.52783,143.2605
2018,99,9747,9799,13.52983,143.31,13.58667,143.49498
2018,100,9822,9860,13.62133,143.60933,13.66167,143.73499
2018,101,9872,9918,13.667,143.759,13.67667,143.88948
2018,102,9922,9942,13.67933,143.901,13.71667,143.94832
2018,103,9981,10009,14.54433,142.9075,14.626,142.93632
2018,104,10022,10068,14.67883,142.94833,14.84917,143.00448
2018,105,10070,10165,14.84917,143.0045,14.691,143.33349
2018,106,10174,10202,14.66017,143.33283,14.6525,143.39267
2018,107,10233,10386,14.62467,143.42883,14.37433,143.99598
2018,108,10417,10432,14.34717,144.00267,14.34083,144.03566
2018,109,10448,10455,14.32033,144.05533,14.31933,144.05916
2018,110,10456,10469,14.319,144.06083,14.31667,144.06966
2018,111,10499,10539,14.30883,144.1355,14.25333,144.25233
2018,112,10565,10575,15.1265,144.799,15.123,144.80966
2018,113,10588,10618,15.11717,144.82633,15.09,144.91149
2018,114,10674,10839,15.08733,144.99267,14.85083,145.66365
2018,115,10860,10878,14.85167,145.71,14.869,145.78382
2018,116,10888,11079,14.88117,145.80933,15.57867,146.03733
2018,117,11105,11383,16.0385,146.03167,16.32317,145.87117
2018,118,11395,11405,16.36483,145.81933,16.38284,145.79768
2018,119,11421,11436,16.4105,145.75783,16.41483,145.70135
2018,120,11457,11481,16.4235,145.589,16.34783,145.58434
2018,121,11517,11575,16.356,145.5845,16.28133,145.72516
2018,122,11604,11614,16.34917,145.74317,16.36534,145.74367
2018,123,11618,11659,16.37967,145.74367,16.36433,145.618
2018,124,11665,11684,16.3385,145.61883,16.32117,145.64332
2021,1,150,186,15.361,145.78817,15.41033,145.86267
2021,2,206,267,15.46533,145.92567,15.58617,146.06349
