LABID,FIELDID,SOURCE,LAB,DATA,SPTYPE,SPCODE,SPNAME,USE,RESTRICT,YR,MO,DA,Latitude,Longitude,OBASIN,LOCLTY,SEX,GENDETER,TVIAL,FVIAL,TTYPE,TSTORE,TLOC,BLUBBER,ISOTOPE,EXTCTD,EXTDAY,EXTSTR,F1,F2,F3,MAXCONC,TLEFT,PRCSD,TSHARED,GENBANK#,GENBANK1,GENBANK2,GENBANK3,COMMENTS,ACCESSIONDATE
23193,M12263,STRAND-AUSTRALIA-AM,WFP,08,C,026,L hos,Y,2,1971,3,1,-30.30,153.13,3,"AUSTRALIA, N.S.W. AUSTRALIA, COFFS HARBOUR",F,2,01,00,T,DRY,G,,,0,,,,,,,Y,,,,,,,,06-Mar-01
40922,LH040317.01,BIOPSY-MALDIVES,RLP,05,C,026,L hos,N,,2004,3,17,2.97,73.65,3,MALDIVES,U,,01,00,S,ETOH,A,A,,0,,,,,,,Y,,,,,,,,20-Jul-04
452,NUC0379/USNM500354,FISHERY-USNM,KMR,04,C,026,L hos,Y,6,1973,7,25,5.00,-128.00,1,NORTH PACIFIC,F,1,00,00,S,DMSO,A,,,2,921013,01,0,1,,,N,3,2,,,,,,
453,NUC0380/USNM500355,FISHERY-USNM,KMR,04,C,026,L hos,Y,6,1973,7,12,5.00,-128.00,1,NORTH PACIFIC,M,1,00,00,S,DMSO,A,,,2,921013,02,0,2,,1990,N,2,2,,,,,,
454,WFP0300/USNM500845,FISHERY-USNM,KMR,04,C,026,L hos,Y,6,1973,12,10,5.07,-120.45,1,NORTH PACIFIC,M,1,00,00,S,DMSO,A,,,1,920610,01,0,1,,340,N,,2,,,,,,
2595,WFP0787,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,9,,,1,PHILIPPINES,F,1,01,00,S,DMSO,A,,,1,,01,0,1,,,Y,,,,,,,,
2596,WFP0745/SUML0062,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,4,18,,,1,PHILIPPINES,F,2,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2597,WFP0805/SUML0052,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,18,,,1,PHILIPPINES,F,2,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2600,WFP0788/SUML0058,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,9,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2602,WFP0799,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,13,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2604,WFP0801,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,16,,,1,PHILIPPINES,F,1,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2606,WFP0779/SUML0060,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,5,31,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2607,WFP0780/SUML0069,FISHERY-PHILIPPINES-SUML,WFP,04,C,026,L hos,Y,2,,,,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2646,GYA0024,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1993,8,11,,,1,PHILIPPINES,F,6,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2648,GYA0028,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1993,8,25,,,1,PHILIPPINES,M,6,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2653,STNA (01),FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1993,6,28,,,1,PHILIPPINES,F,6,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2654,STNA (02),FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1993,6,28,,,1,PHILIPPINES,F,6,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2660,ZZZ0014,FISHERY-PHILIPPINES-PERRI,WFP,03,C,026,L hos,Y,2,1993,4,,,,1,PHILIPPINES,U,,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
2671,ZZZ0018,FISHERY-PHILIPPINES-SUML,WFP,03,C,026,L hos,Y,2,1992,,,,,1,PHILIPPINES,U,,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5553,HAB0001-94,FISHERY-PHILIPPINES-SUML,WFP,03,C,026,L hos,Y,2,1994,6,3,,,1,"PHILIPPINES, SAITON, MALABUHAN",U,,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5555,HAB0003-94,FISHERY-PHILIPPINES-SUML,WFP,03,C,026,L hos,Y,2,1994,6,4,,,1,"PHILIPPINES, SAITON, MALABUHAN",U,,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5556,HAB0007-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,6,10,,,1,"PHILIPPINES, SAITON, MALABUHAN",M,1,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5557,HAB0008-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,6,16,,,1,"PHILIPPINES, SAITON, MALABUHAN",F,1,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5558,HAB0023-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,7,14,,,1,"PHILIPPINES, SAITON, MALABUHAN",F,1,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5559,HAB0024-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,7,16,,,1,"PHILIPPINES, SAITON, MALABUHAN",F,1,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
5561,HAB0029-94,FISHERY-PHILIPPINES-SUML,WFP,07,C,026,L hos,Y,2,1994,8,4,,,1,"PHILIPPINES, SAITON, MALABUHAN",F,1,01,00,S,DMSO,A,,,0,,,,,,,Y,,,,,,,,
30468,DSJ021104.01,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,1,050518,01,0,1,,13,Y,,,,,,,"2 samples from same animal in one vial;blubber not separated, LOAN 176",16-Dec-02
30470,DSJ021104.03,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,0,,,,,,,Y,,,,,,,blubber not separated,16-Dec-02
30471,DSJ021104.04,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,0,,,,,,,Y,,,,,,,blubber not separated,16-Dec-02
30469,DSJ021104.02,BIOPSY-SWFSC-HICEAS,SJC,05,C,026,L hos,Y,2,2002,11,4,24.20,-175.32,1,"USA, HI",U,,01,00,S,FRZR,I,B,,2,060210,01,0,1,,14,Y,,,,,,,"blubber not separated, LOAN 176",16-Dec-02
15529,JHT0303,FISHERY-ETP TUNA,KMR,08,C,026,L hos,N,,1975,4,16,6.63,-96.13,1,ETP,F,2,01,00,O,DMSO,A,,,1,030314,01,0,1,,170,Y,,2,,,,,LOAN 134,
9846,GIR980421.01,BIOPSY-M/V GIRITY,RLP,05,C,026,L hos,N,,1998,4,21,3.57,73.55,3,MALDIVES,U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,145,Y,,2,,,,,LOAN 134,
9867,GIR980415.02,BIOPSY-M/V GIRITY,RLP,05,C,026,L hos,N,,1998,4,15,5.43,73.65,3,MALDIVES,U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,250,Y,,2,,,,,LOAN 134,
9868,GIR980415.03,BIOPSY-M/V GIRITY,RLP,05,C,026,L hos,N,,1998,4,15,5.43,73.65,3,MALDIVES,U,,01,00,S,DMSO,A,,,1,030314,01,0,1,,240,Y,,2,,,,,LOAN 134,
2598,WFP0785,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,8,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,1,030314,01,0,1,,233,Y,,2,,,,,LOAN 134,
2599,WFP0778/SUML0063,FISHERY-PHILIPPINES-PERRI,WFP,07,C,026,L hos,Y,2,1994,5,3,,,1,PHILIPPINES,M,2,01,00,S,DMSO,A,,,1,030314,01,0,1,,337,Y,,2,,,,,LOAN 134,
