"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","USE","Restrict_Description","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","GENBANK.","GENBANK1","GENBANK2","GENBANK3","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
6,,,"DSJ900927.01",181503,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,27,"ETP",,,,,,7.333333,1,"Minute",-82.083333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:57,"dan.prosperi",6/24/2022 13:52:07
7,,,"MAC901031.02",181504,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,-4.583333,1,"Minute",-82.516666,1,"Minute",4,"South Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:58,"dan.prosperi",6/24/2022 13:52:07
8,,,"MAC901031.01",181505,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,-4.666666,1,"Minute",-82.533333,1,"Minute",4,"South Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:58,"dan.prosperi",6/24/2022 13:52:07
9,,,"MAC901031.03",181506,,"1990-MOPS-MAC",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,10,31,"ETP",,,,,,-4.583333,1,"Minute",-82.516666,1,"Minute",4,"South Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:58,"dan.prosperi",6/24/2022 13:52:07
28,,,"SWF-TT-8510-B",181525,,,,,,,,"STRANDING",464,"DAN ODELL",497,"SEA WORLD OF FLORIDA",,,,,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1985,3,16,"PONCE INLET",,,"Volusia","FLORIDA","UNITED STATES OF AMERICA",29.066666,1,"Minute",-80.933333,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
36,,,"SWF-TT-8533-B",181532,,,,,,,,"STRANDING",464,"DAN ODELL",497,"SEA WORLD OF FLORIDA",,,,,"ARC","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1985,7,28,,,,,"FLORIDA","UNITED STATES OF AMERICA",28.416666,1,"Minute",-80.75,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,,,,"changed to not use restircted 2021 after 20 years of no permission contact.  nearly all samples were made available to us by N. Barros, Dan Odell not interested in monitoring, made not use restricted",5/31/2012 15:57:58,"dan.prosperi",6/8/2022 7:21:53
48,,,"UNKNOWN",181544,,,,,,,,"UNKNOWN",,,,,,,,,,"018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","Y","No tissue or DNA available for loan",,,,,,,,,,,,,,,,9,"Unknown","U",,,,,,,"NO MATERIAL LEFT.  Source was recorded as ""UNKNOWN-NO DATA""",5/31/2012 15:57:58,"dan.prosperi",6/7/2022 14:59:41
76,,,"DSJ900825.01",181572,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,8,25,"ETP",,,,,,12.783333,1,"Minute",-93.333333,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
77,,,"DSJ900901.01",181573,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,1,"ETP",,,,,,11.733333,1,"Minute",-92.033333,1,"Minute",1,"North Pacific","U",,,,,,,"LOAN 112, ABOUT 1.5ML OF DNA LEFT.  use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
80,,,"DSJ900922.01",181576,,"1990-MOPS-DSJ",,,,,,"BIOPSY (PROJECTILE)",603,"LISA Ballance",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB","018","C","CETACEA","T tru","Tursiops","truncatus","Bottlenose dolphin","N",,1990,9,22,"CULPEPPER IS.",,"Galapagos Islands",,"Galapagos","ECUADOR",1.633333,1,"Minute",-91.966666,1,"Minute",1,"North Pacific","U",,,,,,,"use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions",5/31/2012 15:57:59,"dan.prosperi",6/24/2022 13:52:07
