Sequence_ID	Isolate	Country	Haplotype	Genbank accession no
SWFSC_MMASTR_102392	SWFSC_MMASTR_102392	USA:Hawaii	37	OR146766
SWFSC_MMASTR_102406	SWFSC_MMASTR_102406	USA:Hawaii	38	OR146767
SWFSC_MMASTR_104035	SWFSC_MMASTR_104035	USA:CNMI	32	OR146761
SWFSC_MMASTR_104067	SWFSC_MMASTR_104067	USA:CNMI	34	OR146763
SWFSC_MMASTR_108183	SWFSC_MMASTR_108183	USA:CNMI	39	OR146768
SWFSC_MMASTR_116881	SWFSC_MMASTR_116881	USA:CNMI	33	OR146762
SWFSC_MMASTR_143738	SWFSC_MMASTR_143738	USA:CNMI	40	OR146769
SWFSC_MMASTR_197366	SWFSC_MMASTR_197366	USA:CNMI	41	OR146770
SWFSC_MMASTR_197367	SWFSC_MMASTR_197367	USA:CNMI	42	OR146771
SWFSC_MMASTR_197368	SWFSC_MMASTR_197368	USA:CNMI	43	OR146772
SWFSC_MMASTR_51039	SWFSC_MMASTR_51039	USA:Hawaii	26	OR146755
SWFSC_MMASTR_53753	SWFSC_MMASTR_53753		30	OR146759
SWFSC_MMASTR_55189	SWFSC_MMASTR_55189	USA:Hawaii	27	OR146756
SWFSC_MMASTR_55190	SWFSC_MMASTR_55190	USA:Hawaii	28	OR146757
SWFSC_MMASTR_67596	SWFSC_MMASTR_67596		29	OR146758
SWFSC_MMASTR_92252	SWFSC_MMASTR_92252	USA:Hawaii	31	OR146760
SWFSC_MMASTR_9539	SWFSC_MMASTR_9539	Taiwan	36	OR146765
SWFSC_MMASTR_9541	SWFSC_MMASTR_9541	Taiwan	35	OR146764
