LABID,HapID,Sex
18535,1,F
27403,4,F
27414,4,F
30495,10,F
33729,3,F
45948,4,F
45949,1,F
45977,3,F
47305,4,F
33942,2,F
33943,2,F
33953,4,F
33954,13,F
33961,4,F
33962,1,F
33967,13,F
33973,2,F
33975,13,F
33978,3,F
34019,18,F
34025,20,F
34026,18,F
34027,4,F
34028,3,F
34032,1,F
34033,1,F
34034,1,F
34035,4,F
34069,8,F
34074,4,F
18957,1,F
18958,3,F
18959,2,F
18961,1,F
23314,2,F
23325,2,F
23326,3,F
27419,5,F
27421,1,F
27422,2,F
27424,1,F
33771,2,F
33779,2,F
47073,1,F
47074,4,F
27449,6,F
27450,4,F
33845,6,F
33846,2,F
33847,6,F
33848,2,F
33864,13,F
33867,1,F
33868,1,F
33870,4,F
33873,4,F
33875,1,F
33876,14,F
33896,1,F
33922,14,F
33924,14,F
49064,10,F
49065,11,F
49067,10,F
49084,23,F
49085,23,F
49086,24,F
49087,11,F
30425,2,F
30426,8,F
30427,4,F
18534,1,M
18536,1,M
27402,4,M
27413,1,M
30496,10,M
30498,2,M
30499,11,M
35857,6,M
45924,13,M
45947,7,M
47693,4,M
47702,6,M
47708,3,M
33945,2,M
33947,15,M
33950,16,M
33951,1,M
33960,13,M
33963,1,M
33976,13,M
33977,4,M
33986,17,M
34022,13,M
34023,19,M
34024,20,M
34029,1,M
34030,4,M
34036,1,M
34037,2,M
34065,4,M
34070,14,M
18949,2,M
18950,1,M
18960,2,M
33773,12,M
33780,3,M
33785,2,M
33818,2,M
47055,20,M
47075,5,M
47078,5,M
27446,6,M
27448,4,M
30484,1,M
33865,4,M
33866,1,M
33869,13,M
33871,14,M
33872,13,M
33874,1,M
33894,4,M
33900,4,M
33921,2,M
33923,4,M
33925,1,M
49066,22,M
49083,10,M
49088,25,M
49089,26,M
30428,1,M
