V1,V2,V3
141.5,21.5,-4067
141.516713091922,21.5,-4044
141.533426183844,21.5,-4016
141.550139275766,21.5,-3975
141.566852367688,21.5,-3974
141.58356545961,21.5,-3925
141.600278551532,21.5,-3816
141.616991643454,21.5,-3626
141.633704735376,21.5,-2975
141.650417827298,21.5,-2975
141.66713091922,21.5,-3031
141.683844011142,21.5,-3031
141.700557103064,21.5,-3590
141.717270194986,21.5,-3590
141.733983286908,21.5,-3785
141.75069637883,21.5,-3785
141.767409470752,21.5,-3793
141.784122562674,21.5,-3778
141.800835654596,21.5,-3773
141.817548746518,21.5,-3766
141.83426183844,21.5,-3757
141.850974930362,21.5,-3740
141.867688022284,21.5,-3719
141.884401114206,21.5,-3583
141.901114206128,21.5,-3583
141.91782729805,21.5,-3361
141.934540389972,21.5,-3361
141.951253481894,21.5,-3142
141.967966573816,21.5,-3142
141.984679665738,21.5,-2891
142.00139275766,21.5,-2891
142.018105849582,21.5,-2750
142.034818941504,21.5,-2777
142.051532033426,21.5,-2818
142.068245125348,21.5,-2943
142.08495821727,21.5,-3059
142.101671309192,21.5,-3130
142.118384401114,21.5,-3175
142.135097493036,21.5,-3204
142.151810584958,21.5,-3204
142.16852367688,21.5,-3096
142.185236768802,21.5,-3096
142.201949860724,21.5,-2831
142.218662952646,21.5,-2831
142.235376044568,21.5,-2482
142.25208913649,21.5,-2482
142.268802228412,21.5,-2322
142.285515320334,21.5,-2195
142.302228412256,21.5,-2146
142.318941504178,21.5,-2170
142.3356545961,21.5,-2302
142.352367688022,21.5,-2514
142.369080779944,21.5,-2807
142.385793871866,21.5,-3391
142.402506963788,21.5,-3391
142.41922005571,21.5,-3677
142.435933147632,21.5,-3677
142.452646239554,21.5,-3587
142.469359331476,21.5,-3587
142.486072423398,21.5,-3356
142.50278551532,21.5,-3356
142.519498607242,21.5,-3284
142.536211699164,21.5,-3292
142.552924791086,21.5,-3378
142.569637883008,21.5,-3466
142.58635097493,21.5,-3678
142.603064066852,21.5,-3956
142.619777158774,21.5,-4273
142.636490250696,21.5,-4580
