V1,V2,V3
142,21.5,-2891
142.016722408027,21.5,-2750
142.033444816054,21.5,-2777
142.05016722408,21.5,-2818
142.066889632107,21.5,-2943
142.083612040134,21.5,-3059
142.100334448161,21.5,-3130
142.117056856187,21.5,-3175
142.133779264214,21.5,-3204
142.150501672241,21.5,-3204
142.167224080268,21.5,-3096
142.183946488294,21.5,-3096
142.200668896321,21.5,-2831
142.217391304348,21.5,-2831
142.234113712375,21.5,-2482
142.250836120401,21.5,-2482
142.267558528428,21.5,-2322
142.284280936455,21.5,-2195
142.301003344482,21.5,-2146
142.317725752508,21.5,-2170
142.334448160535,21.5,-2302
142.351170568562,21.5,-2514
142.367892976589,21.5,-2807
142.384615384615,21.5,-3391
142.401337792642,21.5,-3391
142.418060200669,21.5,-3677
142.434782608696,21.5,-3677
142.451505016722,21.5,-3587
142.468227424749,21.5,-3587
142.484949832776,21.5,-3356
142.501672240803,21.5,-3356
142.518394648829,21.5,-3284
142.535117056856,21.5,-3292
142.551839464883,21.5,-3378
142.56856187291,21.5,-3466
142.585284280936,21.5,-3678
142.602006688963,21.5,-3956
142.61872909699,21.5,-4273
142.635451505017,21.5,-4580
142.652173913043,21.5,-4580
142.66889632107,21.5,-4544
142.685618729097,21.5,-4544
142.702341137124,21.5,-4329
142.719063545151,21.5,-4329
142.735785953177,21.5,-4054
142.752508361204,21.5,-4054
142.769230769231,21.5,-3906
142.785953177258,21.5,-3791
142.802675585284,21.5,-3725
142.819397993311,21.5,-3720
142.836120401338,21.5,-3760
142.852842809365,21.5,-3814
142.869565217391,21.5,-3874
142.886287625418,21.5,-3878
142.903010033445,21.5,-3878
142.919732441472,21.5,-3832
142.936454849498,21.5,-3832
142.953177257525,21.5,-3805
142.969899665552,21.5,-3805
142.986622073579,21.5,-3751
143.003344481605,21.5,-3751
143.020066889632,21.5,-3763
143.036789297659,21.5,-4017
143.053511705686,21.5,-4238
143.070234113712,21.5,-4247
143.086956521739,21.5,-4159
143.103678929766,21.5,-3969
143.120401337793,21.5,-3795
143.137123745819,21.5,-3632
143.153846153846,21.5,-3632
143.170568561873,21.5,-3521
143.1872909699,21.5,-3521
143.204013377926,21.5,-3408
143.220735785953,21.5,-3408
143.23745819398,21.5,-3436
143.254180602007,21.5,-3436
143.270903010033,21.5,-3411
143.28762541806,21.5,-3395
143.304347826087,21.5,-3461
143.321070234114,21.5,-3514
143.33779264214,21.5,-3456
143.354515050167,21.5,-3354
143.371237458194,21.5,-3251
143.387959866221,21.5,-3299
143.404682274247,21.5,-3299
143.421404682274,21.5,-3446
143.438127090301,21.5,-3446
143.454849498328,21.5,-3389
143.471571906355,21.5,-3389
143.488294314381,21.5,-3297
143.505016722408,21.5,-3297
143.521739130435,21.5,-3273
143.538461538462,21.5,-3238
143.555183946488,21.5,-3182
143.571906354515,21.5,-3046
143.588628762542,21.5,-2880
143.605351170569,21.5,-2631
143.622073578595,21.5,-2495
143.638795986622,21.5,-2639
143.655518394649,21.5,-2639
143.672240802676,21.5,-2747
143.688963210702,21.5,-2747
143.705685618729,21.5,-3009
143.722408026756,21.5,-3009
143.739130434783,21.5,-3206
143.755852842809,21.5,-3206
143.772575250836,21.5,-3241
143.789297658863,21.5,-3258
143.80602006689,21.5,-3272
143.822742474916,21.5,-3274
143.839464882943,21.5,-3272
143.85618729097,21.5,-3264
143.872909698997,21.5,-3258
143.889632107023,21.5,-3218
143.90635451505,21.5,-3218
