"","FIELDID","Archive.institution","mtDNA.haplotype","accession.no","LABID","final.name","h","kkm.hap","chen.hap","AnimalID","Location","Haplotype"
"1","DSJ021104.01","SWFSC","Hap_46","MN268674.1",30468,"MN268674.1-Hap_46","Lh45","MN268674.1-Hap_46","Hap_46",30468,"USA, HI",11
"2","DSJ021104.02","SWFSC","Hap_4","MN268592.1",30469,"MN268592.1-Hap_4","Lh02","Lh1","Hap_4",30469,"USA, HI",11
"3","DSJ021104.03","SWFSC","Hap_47","MN268675.1",30470,"MN268675.1-Hap_47","Lh23","Lh15","Hap_47",30470,"USA, HI",15
"4","JHT0303","SWFSC","Hap_45","MN268673.1",15529,"MN268673.1-Hap_45","Lh20","Lh5","Hap_45",15529,"ETP",5
"5","IUCN0003","SWFSC","Hap_25","MN268642.1",394,"MN268642.1-Hap_25","Lh13","Lh4","Hap_25",394,"PHILIPPINES",4
"6","IUCN0008","SWFSC","Hap_26","MN268645.1",399,"MN268645.1-Hap_26","Lh15","Lh17","Hap_26",399,"PHILIPPINES",17
"7","WFP0778/SUML0063","SWFSC","Hap_27","MN268646.1",2599,"MN268646.1-Hap_27","Lh08","Lh9","Hap_27",2599,"PHILIPPINES",9
"8","WFP0779/SUML0060","SWFSC","Hap_29","MN268649.1",2606,"MN268649.1-Hap_29","Lh22","Lh12","Hap_29",2606,"PHILIPPINES",12
"9","STNA (01)","SWFSC","Hap_28",NA,2653,NA,NA,NA,NA,2653,"PHILIPPINES",6
"10","ZZZ0018","SWFSC","Hap_19","MN268633.1",2671,"MN268633.1-Hap_19","Lh14","Lh14","Hap_19",2671,"PHILIPPINES",14
"11","PS-02","SWFSC","Hap_28","MN268648.1",7452,"MN268648.1-Hap_28","Lh17","Lh22","Hap_28",7452,"PHILIPPINES",22
"12","CK9713","NTU","Hap_17","MN268628.1",9554,"MN268628.1-Hap_17","Lh03","Lh23","Hap_17",9554,"TAIWAN",23
"13","SU9479","NTU","Hap_32","MN268658.1",9555,"MN268658.1-Hap_32","Lh24","Lh24","Hap_32",9555,"TAIWAN",24
