,LABID,FIELDID,Animal_ID,SOURCE,Collection_Method,CONTACT_NAME,Organization,Label,LAB,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,USE,Restrict_Description,YR,MO,DA,Location,City,Island,County,State,Country,Latitude,Latitude_Precision,Latitude_Precision_Unit,Longitude,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX,Gender_Determination,ACCESSIONDATE,GENBANK.,GENBANK1,GENBANK2,GENBANK3,COMMENTS,Record_Creation_Date,Edit_User,Edit_Date
2086,51018,RWB2005OCT15.01,210366,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,10,15,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,21.966666,1,Minute,-159.733333,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2087,51021,RWB2005OCT16.01,210369,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,10,16,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,21.9,1,Minute,-159.666666,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2088,51022,RWB2005OCT16.02,210370,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,10,16,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,21.9,1,Minute,-159.666666,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2089,51039,RWB2005OCT26.01,210387,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,10,26,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.066666,1,Minute,-159.816666,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2090,51040,RWB2005OCT26.02,210388,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,10,26,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.066666,1,Minute,-159.816666,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,Same individual as Z51088 confirmed by photot-id data per Annie Gorgone.,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2091,51041,RWB2005OCT26.03,210389,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,10,26,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.066666,1,Minute,-159.8,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2092,51066,RWB2005NOV05.01,210414,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,11,5,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.016666,1,Minute,-159.8,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2093,51067,RWB2005NOV05.02,210415,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,11,5,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.016666,1,Minute,-159.8,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2094,51068,RWB2005NOV06.01,210416,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,11,6,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.1,1,Minute,-159.85,1,Minute,1,North Pacific,F,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
2095,51069,RWB2005NOV06.02,210417,BIOPSY-CASCADIA-BAIRD,BIOPSY (PROJECTILE),NA,NA,NA,SJC,18,C,CETACEA,T tru,Tursiops,truncatus,Bottlenose dolphin,Y,Donator requested that PI request permission to use in study,2005,11,6,,,Kauai,,HAWAII,UNITED STATES OF AMERICA,22.1,1,Minute,-159.85,1,Minute,1,North Pacific,M,Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.,12/5/05 0:00,,NA,NA,NA,,5/31/12 16:12,Dan Prosperi,9/17/21 8:04
