"","Lhos.prob","Gen.1","Gen.2","Lhos.prob.sub","Gen.1.sub","Gen.2.sub"
"104035",0.001,0,0.001,0,0,0
"104066",0.001,0,0.001,0,0,0
"104067",0.038,0,0.038,0.00790000000000002,0,0.0079
"104070",0.001,0,0.001,0.000299999999999967,0,3e-04
"108172",0.022,0,0.022,0.00290000000000001,0,0.0029
"108183",0.007,0,0.007,0.0115,0,0.0115
"108207",0.01,0,0.01,0.001,0,0.001
"108208",0.0861,0.001,0.0851,0.00439999999999996,0,0.0044
"116858",0.006,0,0.006,0.00160000000000005,0,0.0016
"116866",0.002,0,0.002,0.00119999999999998,0,0.0012
"116867",0.5388,0.2784,0.2603,0.05070390970391,0.0097,0.041
"116868",0.054,0,0.054,0.00339999999999996,0,0.0034
"116869",0.0354,0,0.0354,0.00219999999999998,0,0.0022
"116881",0,0,0,0,0,0
