"","final.name","accession.no","h","kkm.hap","chen.hap"
"1","Lh1","Lh1","Lh02","Lh1","Lh1"
"2","MN268597.1-Hap_4","MN268597.1","Lh02","Lh1","Hap_4"
"3","MN268596.1-Hap_4","MN268596.1","Lh02","Lh1","Hap_4"
"4","MN268595.1-Hap_4","MN268595.1","Lh02","Lh1","Hap_4"
"5","MN268594.1-Hap_4","MN268594.1","Lh02","Lh1","Hap_4"
"6","MN268593.1-Hap_4","MN268593.1","Lh02","Lh1","Hap_4"
"7","MN268592.1-Hap_4","MN268592.1","Lh02","Lh1","Hap_4"
"8","Lh2","Lh2","Lh01","Lh2","Lh2"
"9","MN268589.1-Hap_2","MN268589.1","Lh01","Lh2","Hap_2"
"10","MN268588.1-Hap_2","MN268588.1","Lh01","Lh2","Hap_2"
"11","MN268587.1-Hap_2","MN268587.1","Lh01","Lh2","Hap_2"
"12","MN268586.1-Hap_2","MN268586.1","Lh01","Lh2","Hap_2"
"13","MN268585.1-Hap_2","MN268585.1","Lh01","Lh2","Hap_2"
"14","MN268584.1-Hap_2","MN268584.1","Lh01","Lh2","Hap_2"
"15","MN268583.1-Hap_2","MN268583.1","Lh01","Lh2","Hap_2"
"16","MN268602.1-Hap_7","MN268602.1","Lh01","Lh2","Hap_7"
"17","MZ401171.1","MZ401171.1","Lh01","Lh2","MZ401171.1"
"18","Lh3","Lh3","Lh30","Lh3","Lh3"
"19","Lh4","Lh4","Lh13","Lh4","Lh4"
"20","MN268643.1-Hap_25","MN268643.1","Lh13","Lh4","Hap_25"
"21","MN268642.1-Hap_25","MN268642.1","Lh13","Lh4","Hap_25"
"22","Lh5","Lh5","Lh20","Lh5","Lh5"
"23","MN268673.1-Hap_45","MN268673.1","Lh20","Lh5","Hap_45"
"24","Lh6","Lh6","Lh04","Lh6","Lh6"
"25","MN268653.1-Hap_30","MN268653.1","Lh04","Lh6","Hap_30"
"26","MN268652.1-Hap_30","MN268652.1","Lh04","Lh6","Hap_30"
"27","MN268651.1-Hap_30","MN268651.1","Lh04","Lh6","Hap_30"
"28","MN268650.1-Hap_30","MN268650.1","Lh04","Lh6","Hap_30"
"29","Lh7","Lh7","Lh31","Lh7","Lh7"
"30","Lh8","Lh8","Lh32","Lh8","Lh8"
"31","Lh9","Lh9","Lh08","Lh9","Lh9"
"32","MN268663.1-Hap_35","MN268663.1","Lh08","Lh9","Hap_35"
"33","MN268662.1-Hap_35","MN268662.1","Lh08","Lh9","Hap_35"
"34","MN268646.1-Hap_27","MN268646.1","Lh08","Lh9","Hap_27"
"35","Lh10","Lh10","Lh33","Lh10","Lh10"
"36","Lh11","Lh11","Lh21","Lh11","Lh11"
"37","MN268635.1-Hap_21","MN268635.1","Lh21","Lh11","Hap_21"
"38","Lh12","Lh12","Lh22","Lh12","Lh12"
"39","MN268649.1-Hap_29","MN268649.1","Lh22","Lh12","Hap_29"
"40","Lh13","Lh13","Lh34","Lh13","Lh13"
"41","Lh14","Lh14","Lh14","Lh14","Lh14"
"42","MN268633.1-Hap_19","MN268633.1","Lh14","Lh14","Hap_19"
"43","MN268632.1-Hap_19","MN268632.1","Lh14","Lh14","Hap_19"
"44","Lh15","Lh15","Lh23","Lh15","Lh15"
"45","MN268675.1-Hap_47","MN268675.1","Lh23","Lh15","Hap_47"
"46","Lh16","Lh16","Lh05","Lh16","Lh16"
"47","MN268619.1-Hap_14","MN268619.1","Lh05","Lh16","Hap_14"
"48","MN268618.1-Hap_14","MN268618.1","Lh05","Lh16","Hap_14"
"49","MN268617.1-Hap_14","MN268617.1","Lh05","Lh16","Hap_14"
"50","MN268616.1-Hap_14","MN268616.1","Lh05","Lh16","Hap_14"
"51","Lh17","Lh17","Lh15","Lh17","Lh17"
"52","MN268645.1-Hap_26","MN268645.1","Lh15","Lh17","Hap_26"
"53","MN268644.1-Hap_26","MN268644.1","Lh15","Lh17","Hap_26"
"54","Lh18","Lh18","Lh35","Lh18","Lh18"
"55","Lh19","Lh19","Lh36","Lh19","Lh19"
