"","id","h","kkm.hap","chen.hap"
"1","Lh1","Lh02","Lh1","Lh1"
"2","MN268597","Lh02","Lh1","Hap_4"
"3","MN268596","Lh02","Lh1","Hap_4"
"4","MN268595","Lh02","Lh1","Hap_4"
"5","MN268594","Lh02","Lh1","Hap_4"
"6","MN268593","Lh02","Lh1","Hap_4"
"7","MN268592","Lh02","Lh1","Hap_4"
"8","Lh2","Lh01","Lh2","Lh2"
"9","MN268589","Lh01","Lh2","Hap_2"
"10","MN268588","Lh01","Lh2","Hap_2"
"11","MN268587","Lh01","Lh2","Hap_2"
"12","MN268586","Lh01","Lh2","Hap_2"
"13","MN268585","Lh01","Lh2","Hap_2"
"14","MN268584","Lh01","Lh2","Hap_2"
"15","MN268583","Lh01","Lh2","Hap_2"
"16","MN268602","Lh01","Lh2","Hap_7"
"17","MZ401171","Lh01","Lh2","1"
"18","Lh3","Lh30","Lh3","Lh3"
"19","Lh4","Lh13","Lh4","Lh4"
"20","MN268643","Lh13","Lh4","Hap_25"
"21","MN268642","Lh13","Lh4","Hap_25"
"22","Lh5","Lh20","Lh5","Lh5"
"23","MN268673","Lh20","Lh5","Hap_45"
"24","Lh6","Lh04","Lh6","Lh6"
"25","MN268653","Lh04","Lh6","Hap_30"
"26","MN268652","Lh04","Lh6","Hap_30"
"27","MN268651","Lh04","Lh6","Hap_30"
"28","MN268650","Lh04","Lh6","Hap_30"
"29","Lh7","Lh31","Lh7","Lh7"
"30","Lh8","Lh32","Lh8","Lh8"
"31","Lh9","Lh08","Lh9","Lh9"
"32","MN268663","Lh08","Lh9","Hap_35"
"33","MN268662","Lh08","Lh9","Hap_35"
"34","MN268646","Lh08","Lh9","Hap_27"
"35","Lh10","Lh33","Lh10","Lh10"
"36","Lh11","Lh21","Lh11","Lh11"
"37","MN268635","Lh21","Lh11","Hap_21"
"38","Lh12","Lh22","Lh12","Lh12"
"39","MN268649","Lh22","Lh12","Hap_29"
"40","Lh13","Lh34","Lh13","Lh13"
"41","Lh14","Lh14","Lh14","Lh14"
"42","MN268633","Lh14","Lh14","Hap_19"
"43","MN268632","Lh14","Lh14","Hap_19"
"44","Lh15","Lh23","Lh15","Lh15"
"45","MN268675","Lh23","Lh15","Hap_47"
"46","Lh16","Lh05","Lh16","Lh16"
"47","MN268619","Lh05","Lh16","Hap_14"
"48","MN268618","Lh05","Lh16","Hap_14"
"49","MN268617","Lh05","Lh16","Hap_14"
"50","MN268616","Lh05","Lh16","Hap_14"
"51","Lh17","Lh15","Lh17","Lh17"
"52","MN268645","Lh15","Lh17","Hap_26"
"53","MN268644","Lh15","Lh17","Hap_26"
"54","Lh18","Lh35","Lh18","Lh18"
"55","Lh19","Lh36","Lh19","Lh19"
"56","Lh20","Lh37","Lh20","Lh20"
"57","Lh21","Lh16","Lh21","Lh21"
"58","MN268659","Lh16","Lh21","Hap_33"
"59","MN268641","Lh16","Lh21","Hap_24"
"60","Lh22","Lh17","Lh22","Lh22"
"61","MN268648","Lh17","Lh22","Hap_28"
"62","MN268647","Lh17","Lh22","1"
"63","Lh23","Lh03","Lh23","Lh23"
"64","MN268629","Lh03","Lh23","Hap_17"
"65","MN268628","Lh03","Lh23","Hap_17"
"66","MN268627","Lh03","Lh23","Hap_17"
"67","MN268626","Lh03","Lh23","Hap_17"
"68","MN268625","Lh03","Lh23","Hap_17"
"69","Lh24","Lh24","Lh24","Lh24"
"70","MN268658","Lh24","Lh24","Hap_32"
"71","Lh25","Lh38","Lh25","Lh25"
"72","Lh26","Lh39","Lh26","Lh26"
"73","MN268677","Lh25","MN268677.1.Hap_48","Hap_48"
"74","MN268676","Lh25","MN268677.1.Hap_48","Hap_48"
"75","MN268668","Lh40","MN268668.1.Hap_40","Hap_40"
"76","MN268631","Lh26","MN268631.1.Hap_18","Hap_18"
"77","MN268630","Lh26","MN268631.1.Hap_18","Hap_18"
"78","MN268615","Lh41","MN268615.1.Hap_13","Hap_13"
"79","MN268624","Lh09","MN268624.1.Hap_16","Hap_16"
"80","MN268623","Lh09","MN268624.1.Hap_16","Hap_16"
"81","MN268622","Lh09","MN268624.1.Hap_16","Hap_16"
"82","MN268621","Lh09","MN268624.1.Hap_16","Hap_16"
"83","MN268608","Lh10","MN268608.1.Hap_10","Hap_10"
"84","MN268607","Lh10","MN268608.1.Hap_10","Hap_10"
"85","MN268606","Lh10","MN268608.1.Hap_10","Hap_10"
"86","MN268582","Lh10","MN268608.1.Hap_10","Hap_1"
"87","MN268665","Lh42","MN268665.1.Hap_37","Hap_37"
"88","MN268639","Lh06","MN268639.1.Hap_22","Hap_22"
"89","MN268638","Lh06","MN268639.1.Hap_22","Hap_22"
"90","MN268637","Lh06","MN268639.1.Hap_22","Hap_22"
"91","MN268636","Lh06","MN268639.1.Hap_22","Hap_22"
"92","MN268634","Lh06","MN268639.1.Hap_22","Hap_20"
"93","MN268667","Lh43","MN268667.1.Hap_39","Hap_39"
"94","MN268601","Lh18","MN268601.1.Hap_6","Hap_6"
"95","MN268600","Lh18","MN268601.1.Hap_6","Hap_6"
"96","MN268599","Lh18","MN268601.1.Hap_6","Hap_6"
"97","MN268613","Lh07","MN268613.1.Hap_11","Hap_11"
"98","MN268612","Lh07","MN268613.1.Hap_11","Hap_11"
"99","MN268611","Lh07","MN268613.1.Hap_11","Hap_11"
"100","MN268610","Lh07","MN268613.1.Hap_11","Hap_11"
"101","MN268609","Lh07","MN268613.1.Hap_11","Hap_11"
"102","MN268620","Lh44","MN268620.1.Hap_15","Hap_15"
"103","MN268591","Lh11","MN268591.1.Hap_3","Hap_3"
"104","MN268590","Lh11","MN268591.1.Hap_3","Hap_3"
"105","MZ401170","Lh11","MN268591.1.Hap_3","1"
"106","MZ401172","Lh11","MN268591.1.Hap_3","1"
"107","MN268674","Lh45","MN268674.1.Hap_46","Hap_46"
"108","MN268664","Lh46","MN268664.1.Hap_36","Hap_36"
"109","MN268669","Lh47","MN268669.1.Hap_41","Hap_41"
"110","MN268640","Lh48","MN268640.1.Hap_23","Hap_23"
"111","MN268666","Lh49","MN268666.1.Hap_38","Hap_38"
"112","MN268661","Lh19","MN268661.1.Hap_34","Hap_34"
"113","MN268660","Lh19","MN268661.1.Hap_34","Hap_34"
"114","MN268614","Lh19","MN268661.1.Hap_34","Hap_12"
"115","MN268605","Lh27","MN268605.1.Hap_9","Hap_9"
"116","MN268604","Lh27","MN268605.1.Hap_9","Hap_9"
"117","MN268603","Lh28","MN268603.1.Hap_8","Hap_8"
"118","AB610384","Lh28","MN268603.1.Hap_8","Hap_8"
"119","MN268671","Lh50","MN268671.1.Hap_43","Hap_43"
"120","MN268670","Lh51","MN268670.1.Hap_42","Hap_42"
"121","MN268657","Lh12","MN268657.1.Hap_31","Hap_31"
"122","MN268656","Lh12","MN268657.1.Hap_31","Hap_31"
"123","MN268655","Lh12","MN268657.1.Hap_31","Hap_31"
"124","MN268654","Lh12","MN268657.1.Hap_31","Hap_31"
"125","MN268672","Lh52","MN268672.1.Hap_44","Hap_44"
"126","NC_037848","Lh29","NC_037848.1","1"
"127","MG599457","Lh29","NC_037848.1","1"
